ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
chamMain_Saff1904-1_101-1,,chamMain_Saff1904,1_101,manot,manot,,"""considered as expressing 'a set.' When more than one ten is expressed, fulu is used"" (Safford 1904:100)",Safford1904,,false,,
chamMain_Saff1904-2_102-1,,chamMain_Saff1904,2_102,gatus,gatus,,,Safford1904,,false,,
chamMain_Saff1904-3_103-1,,chamMain_Saff1904,3_103,chalan,chalan,,,Safford1904,,false,,
chamMain_Saff1904-4_104-1,,chamMain_Saff1904,4_104,*manutu,*manutu,,,Safford1904,,false,,
palaMain_Kram1919-1_101-1,,palaMain_Kram1919,1_101,mágod / trúiŭg,mágod,,,Kramer1919,,false,,
palaMain_Kram1919-1_101-2,,palaMain_Kram1919,1_101,mágod / trúiŭg,trúiŭg,,,Kramer1919,,false,,
palaMain_Kram1919-2_102-1,,palaMain_Kram1919,2_102,dart,dart,,,Kramer1919,,false,,
palaMain_Kram1919-3_103-1,,palaMain_Kram1919,3_103,tëláel,tëláel,,,Kramer1919,,false,,
palaMain_Kram1919-4_104-1,,palaMain_Kram1919,4_104,(trúiŭg l tëláel),(trúiŭg l tëláel),,Krämer (1919:331) assumes this to be influenced by Western languages,Kramer1919,,true,,
palaMain_Kram1919-5_105-1,,palaMain_Kram1919,5_105,(dart l tëláel),(dart l tëláel),,Krämer (1919:331) assumes this to be influenced by Western languages,Kramer1919,,true,,
yapeMain_Tete1873-1_101-1,,yapeMain_Tete1873,1_101,erregak,erregak,,,Tetens1873,,false,,
yapeMain_Tete1873-2_102-1,,yapeMain_Tete1873,2_102,erre-ei,erre-ei,,,Tetens1873,,false,,
yapeMain_Tete1873-3_103-1,,yapeMain_Tete1873,3_103,ebiu,ebiu,,,Tetens1873,,false,,
yapeMain_Tete1873-4_104-1,,yapeMain_Tete1873,4_104,(ebiegak ebiu),(ebiegak ebiu),,,Tetens1873,,true,,
yapeMain_Tete1873-5_105-1,,yapeMain_Tete1873,5_105,(erre-ei ebiu),(erre-ei ebiu),,,Tetens1873,,true,,
ngulMain_Eile1936-1_101-1,,ngulMain_Eile1936,1_101,ragāk,ragāk,,,Eilers1936,,false,,
ngulMain_Eile1936-2_102-1,,ngulMain_Eile1936,2_102,raei / răb moú,raei,,,Eilers1936,,false,,
ngulMain_Eile1936-2_102-2,,ngulMain_Eile1936,2_102,raei / răb moú,răb moú,,,Eilers1936,,false,,
kapiMain_Eile1934-1_101-1,,kapiMain_Eile1934,1_101,[matanga] huru ,[matanga] huru,,,Eilers1934,,false,,
kapiMain_Eile1934-2_102-1,,kapiMain_Eile1934,2_102,rau,rau,,,Eilers1934,,false,,
kapiMain_Eile1934-3_103-1,,kapiMain_Eile1934,3_103,mano,mano,,,Eilers1934,,false,,
nukuMain_HaJa1984-1_101-1,,nukuMain_HaJa1984,1_101,hulu / mada,hulu,,Carroll & Soulik (1973:465) report hulu in enumeration and compounds only,Harrison1984,,false,,
nukuMain_HaJa1984-1_101-2,,nukuMain_HaJa1984,1_101,hulu / mada,mada,,Carroll & Soulik (1973:465) report madaangahulu for objects,Harrison1984,,false,,
nukuMain_HaJa1984-2_102-1,,nukuMain_HaJa1984,2_102,lau,lau,,,Harrison1984,,false,,
nukuMain_HaJa1984-3_103-1,,nukuMain_HaJa1984,3_103,mano,mano,,,Harrison1984,,false,,
nukuMain_HaJa1984-4_104-1,,nukuMain_HaJa1984,4_104,semada,semada,,,Harrison1984,,false,,
nukuMain_HaJa1984-5_105-1,,nukuMain_HaJa1984,5_105,seguli,seguli,,,Harrison1984,,false,,
nukuMain_HaJa1984-6_106-1,,nukuMain_HaJa1984,6_106,seloo,seloo,,,Harrison1984,,false,,
nukuMain_HaJa1984-7_107-1,,nukuMain_HaJa1984,7_107,sengaa,sengaa,,,Harrison1984,,false,,
nukuMain_HaJa1984-8_108-1,,nukuMain_HaJa1984,8_108,semuna,semuna,,,Harrison1984,,false,,
nukuMain_HaJa1984-9_109-1,,nukuMain_HaJa1984,9_109,sebugi,sebugi,,,Harrison1984,,false,,
nukuMain_HaJa1984-10_1010-1,,nukuMain_HaJa1984,10_1010,sebaga,sebaga,,,Harrison1984,,false,,
naurMain_Kays1993-1_101-1,,naurMain_Kays1993,1_101,ata,ata,,,Kayser1993,,false,,
naurMain_Kays1993-2_102-1,,naurMain_Kays1993,2_102,aibu,aibu,,,Kayser1993,,false,,
naurMain_Kays1993-3_103-1,,naurMain_Kays1993,3_103,arańa,arańa,,,Kayser1993,,false,,
naurMain_Kays1993-4_104-1,,naurMain_Kays1993,4_104,(ata arańan),(ata arańan),,,Kayser1993,,true,,
naurMain_Kays1993-5_105-1,,naurMain_Kays1993,5_105,(aibu arańan),(aibu arańan),,due to a gap in Kayser (1993) taken from Hambruch (1914:111),Kayser1993,,true,,
naurMain_Kays1993-6_106-1,,naurMain_Kays1993,6_106,(arańa e arańan),(arańa e arańan),,"beyond 10^6, counting returns to 1 and continues recursively (Kayser 1993:68)",Kayser1993,,true,,
kosrMain_LeeK1975-1_101-1,,kosrMain_LeeK1975,1_101,[-]nguhul,[-]nguhul,,Vesper (1970) reports siŋaul for 10 (but no higher power numerals),Lee1975,,false,,
kosrMain_LeeK1975-2_102-1,,kosrMain_LeeK1975,2_102,[-]fok(o),[-]fok(o),,,Lee1975,,false,,
kosrMain_LeeK1975-3_103-1,,kosrMain_LeeK1975,3_103,(tausin),(tausin),,,Lee1975,,true,,
kosrMain_LeeK1975-6_106-1,,kosrMain_LeeK1975,6_106,(milion),(milion),,,Lee1975,,true,,
gilbMain_Bing1922-1_101-1,,gilbMain_Bing1922,1_101,tebwina / teñaun,tebwina,,according to Bingham (1922:15) for 10 objects,Bingham1922,,false,,
gilbMain_Bing1922-1_101-2,,gilbMain_Bing1922,1_101,tebwina / teñaun,teñaun,,according to Bingham (1922:15) for 10 people (or 100 coconuts [p.17]),Bingham1922,,false,,
gilbMain_Bing1922-2_102-1,,gilbMain_Bing1922,2_102,tebubua,tebubua,,,Bingham1922,,false,,
gilbMain_Bing1922-3_103-1,,gilbMain_Bing1922,3_103,teña,teña,,,Bingham1922,,false,,
gilbMain_Bing1922-4_104-1,,gilbMain_Bing1922,4_104,terebu,terebu,,,Bingham1922,,false,,
gilbMain_Bing1922-5_105-1,,gilbMain_Bing1922,5_105,tekuri,tekuri,,,Bingham1922,,false,,
gilbMain_Bing1922-6_106-1,,gilbMain_Bing1922,6_106,teea,teea,,,Bingham1922,,false,,
gilbMain_Bing1922-7_107-1,,gilbMain_Bing1922,7_107,tetano,tetano,,,Bingham1922,,false,,
gilbMain_Bing1922-8_108-1,,gilbMain_Bing1922,8_108,tetoki,tetoki,,,Bingham1922,,false,,
gilbMain_Bing1922-9_109-1,,gilbMain_Bing1922,9_109,(tebwina tetoki),(tebwina tetoki),,,Bingham1922,,true,,
marsMain_Erdl1906-1_101-1,,marsMain_Erdl1906,1_101,joñoul,joñoul,,,Erdland1906,,false,,
marsMain_Erdl1906-2_102-1,,marsMain_Erdl1906,2_102,jibugi,jibugi,,,Erdland1906,,false,,
marsMain_Erdl1906-3_103-1,,marsMain_Erdl1906,3_103,jeraben,jeraben,,,Erdland1906,,false,,
pingMain_GoWe1989-1_101-1,,pingMain_GoWe1989,1_101,eisaek / eisik,eisaek,,Eilers (1934:462) reports sẹngeṵil for 10,Good1989,,false,,
pingMain_GoWe1989-1_101-2,,pingMain_GoWe1989,1_101,eisaek / eisik,eisik,,Eilers (1934:462) reports sẹngeṵil for 10 ,Good1989,,false,,
pingMain_GoWe1989-2_102-1,,pingMain_GoWe1989,2_102,epwiki,epwiki,,,Good1989,,false,,
pingMain_GoWe1989-3_103-1,,pingMain_GoWe1989,3_103,kid,kid,,,Good1989,,false,,
pingMain_GoWe1989-4_104-1,,pingMain_GoWe1989,4_104,naen,naen,,,Good1989,,false,,
pingMain_GoWe1989-5_105-1,,pingMain_GoWe1989,5_105,lop,lop,,,Good1989,,false,,
pingMain_GoWe1989-6_106-1,,pingMain_GoWe1989,6_106,rar,rar,,,Good1989,,false,,
pingMain_GoWe1989-7_107-1,,pingMain_GoWe1989,7_107,dep,dep,,,Good1989,,false,,
pingMain_GoWe1989-8_108-1,,pingMain_GoWe1989,8_108,sap,sap,,,Good1989,,false,,
pingMain_GoWe1989-9_109-1,,pingMain_GoWe1989,9_109,lik,lik,,,Good1989,,false,,
mokiMain_Harr1976-1_101-1,,mokiMain_Harr1976,1_101,eijek,eijek,,Eilers (1934:397) reports χengúl for 10,Harrison1976,,false,,
mokiMain_Harr1976-2_102-1,,mokiMain_Harr1976,2_102,epwki,epwki,,,Harrison1976,,false,,
mokiMain_Harr1976-3_103-1,,mokiMain_Harr1976,3_103,kid,kid,,,Harrison1976,,false,,
mokiMain_Harr1976-4_104-1,,mokiMain_Harr1976,4_104,nen,nen,,,Harrison1976,,false,,
mokiMain_Harr1976-5_105-1,,mokiMain_Harr1976,5_105,lopw,lopw,,,Harrison1976,,false,,
mokiMain_Harr1976-6_106-1,,mokiMain_Harr1976,6_106,rar,rar,,,Harrison1976,,false,,
mokiMain_Harr1976-7_107-1,,mokiMain_Harr1976,7_107,dep,dep,,,Harrison1976,,false,,
mokiMain_Harr1976-8_108-1,,mokiMain_Harr1976,8_108,japw,japw,,,Harrison1976,,false,,
mokiMain_Harr1976-9_109-1,,mokiMain_Harr1976,9_109,lik,lik,,,Harrison1976,,false,,
pohnMain_Rehg1981-1_101-1,,pohnMain_Rehg1981,1_101,eisek / ehk / ngoul,eisek,,,Rehg1981,,false,,
pohnMain_Rehg1981-1_101-2,,pohnMain_Rehg1981,1_101,eisek / ehk / ngoul,ehk,,,Rehg1981,,false,,
pohnMain_Rehg1981-1_101-3,,pohnMain_Rehg1981,1_101,eisek / ehk / ngoul,ngoul,,,Rehg1981,,false,,
pohnMain_Rehg1981-2_102-1,,pohnMain_Rehg1981,2_102,epwiki,epwiki,,,Rehg1981,,false,,
pohnMain_Rehg1981-3_103-1,,pohnMain_Rehg1981,3_103,kid,kid,,,Rehg1981,,false,,
pohnMain_Rehg1981-4_104-1,,pohnMain_Rehg1981,4_104,nen,nen,,,Rehg1981,,false,,
pohnMain_Rehg1981-5_105-1,,pohnMain_Rehg1981,5_105,lopw,lopw,,,Rehg1981,,false,,
pohnMain_Rehg1981-6_106-1,,pohnMain_Rehg1981,6_106,rar,rar,,,Rehg1981,,false,,
pohnMain_Rehg1981-7_107-1,,pohnMain_Rehg1981,7_107,dep,dep,,,Rehg1981,,false,,
pohnMain_Rehg1981-8_108-1,,pohnMain_Rehg1981,8_108,sapw,sapw,,,Rehg1981,,false,,
pohnMain_Rehg1981-9_109-1,,pohnMain_Rehg1981,9_109,lik,lik,,,Rehg1981,,false,,
mortMain_Girs1913-1_101-1,,mortMain_Girs1913,1_101,eṅoal / säk,eṅoal,,according to Girschner (1913:171) for rapid counting and most objects,Girschner1913,,false,,
mortMain_Girs1913-1_101-2,,mortMain_Girs1913,1_101,eṅoal / säk,säk,,according to Girschner (1913:171) for living beings ,Girschner1913,,false,,
mortMain_Girs1913-2_102-1,,mortMain_Girs1913,2_102,épuku,épuku,,,Girschner1913,,false,,
mortMain_Girs1913-3_103-1,,mortMain_Girs1913,3_103,éṅarau,éṅarau,,,Girschner1913,,false,,
mortMain_Girs1913-4_104-1,,mortMain_Girs1913,4_104,kit,kit,,,Girschner1913,,false,,
chuuMain_Elbe1947-1_101-1,,chuuMain_Elbe1947,1_101,engon,engon,,,Elbert1947,,false,,
chuuMain_Elbe1947-2_102-1,,chuuMain_Elbe1947,2_102,ipükü,ipükü,,,Elbert1947,,false,,
chuuMain_Elbe1947-3_103-1,,chuuMain_Elbe1947,3_103,engeröü,engeröü,,,Elbert1947,,false,,
chuuMain_Elbe1947-4_104-1,,chuuMain_Elbe1947,4_104,ekit,ekit,,,Elbert1947,,false,,
chuuMain_Elbe1947-5_105-1,,chuuMain_Elbe1947,5_105,föünpi ,föünpi,,,Elbert1947,,false,,
chuuMain_Elbe1947-6_106-1,,chuuMain_Elbe1947,6_106,(minion),(minion),,,Elbert1947,,true,,
pollMain_Quac1968-1_101-1,,pollMain_Quac1968,1_101,hejik,hejik,,,Quackenbush1968,,false,,
pollMain_Quac1968-2_102-1,,pollMain_Quac1968,2_102,pwukuw,pwukuw,,,Quackenbush1968,,false,,
pollMain_Quac1968-3_103-1,,pollMain_Quac1968,3_103,ngaraw,ngaraw,,,Quackenbush1968,,false,,
puluPuwa_Damm1935-1_101-1,,puluPuwa_Damm1935,1_101,sḗïk,sḗïk,,"Jackson (1983:52) reports also [-]ngool for 10, besides [-]yik ",Damm1935,,false,,
puluPuwa_Damm1935-2_102-1,,puluPuwa_Damm1935,2_102,äbṹgu,äbṹgu,,,Damm1935,,false,,
puluPuwa_Damm1935-3_103-1,,puluPuwa_Damm1935,3_103,äṅeraíu,äṅeraíu,,,Damm1935,,false,,
puluPuwa_Damm1935-4_104-1,,puluPuwa_Damm1935,4_104,ân,ân,,,Damm1935,,false,,
puluPuwa_Damm1935-5_105-1,,puluPuwa_Damm1935,5_105,bīắu,bīắu,,,Damm1935,,false,,
puluPuwa_Damm1935-6_106-1,,puluPuwa_Damm1935,6_106,jấpi,jấpi,,,Damm1935,,false,,
puluPuwa_Damm1935-7_107-1,,puluPuwa_Damm1935,7_107,elṍp,elṍp,,,Damm1935,,false,,
puluPuwa_Damm1935-8_108-1,,puluPuwa_Damm1935,8_108,*jãro,*jãro,,,Damm1935,,false,,
puluPusu_Quac1968-1_101-1,,puluPusu_Quac1968,1_101,heejik,heejik,,,Quackenbush1968,,false,,
puluPusu_Quac1968-2_102-1,,puluPusu_Quac1968,2_102,pwukuw,pwukuw,,,Quackenbush1968,,false,,
puluPusu_Quac1968-3_103-1,,puluPusu_Quac1968,3_103,ngaraj,ngaraj,,,Quackenbush1968,,false,,
namoMain_Kram1935-1_101-1,,namoMain_Kram1935,1_101,óngol,óngol,,,Kramer1935,,false,,
namoMain_Kram1935-2_102-1,,namoMain_Kram1935,2_102,e bogü,e bogü,,,Kramer1935,,false,,
namoMain_Kram1935-3_103-1,,namoMain_Kram1935,3_103,ë auit,ë auit,,Quackenbush (1968:203) reports ngaraj for 10^3,Kramer1935,,false,,
namoMain_Kram1935-4_104-1,,namoMain_Kram1935,4_104,ë git,ë git,,,Kramer1935,,false,,
paafMain_Quac1968-1_101-1,,paafMain_Quac1968,1_101,jengȯȯl,jengȯȯl,,,Quackenbush1968,,false,,
paafMain_Quac1968-2_102-1,,paafMain_Quac1968,2_102,pwukyw,pwukyw,,,Quackenbush1968,,false,,
paafMain_Quac1968-3_103-1,,paafMain_Quac1968,3_103,ngarėw,ngarėw,,,Quackenbush1968,,false,,
tanaMain_Quac1968-1_101-1,,tanaMain_Quac1968,1_101,sejig,sejig,,,Quackenbush1968,,false,,
tanaMain_Quac1968-2_102-1,,tanaMain_Quac1968,2_102,bwuguw,bwuguw,,,Quackenbush1968,,false,,
tanaMain_Quac1968-3_103-1,,tanaMain_Quac1968,3_103,ngaras,ngaras,,,Quackenbush1968,,false,,
caroMain_JaMa1991-1_101-1,,caroMain_JaMa1991,1_101,[-]igh / eyáf,[-]igh,,,Jackson1991,,false,,
caroMain_JaMa1991-1_101-2,,caroMain_JaMa1991,1_101,[-]igh / eyáf,eyáf,,according to both Jackson & Marck (1991) and Fritz (1911) for units of 10 coconuts,Jackson1991,,false,,
caroMain_JaMa1991-2_102-1,,caroMain_JaMa1991,2_102,[-]bwúghúw,[-]bwúghúw,,,Jackson1991,,false,,
caroMain_JaMa1991-3_103-1,,caroMain_JaMa1991,3_103,[-]ngaras / [-]ngéréw,[-]ngaras,,,Jackson1991,,false,,
caroMain_JaMa1991-3_103-2,,caroMain_JaMa1991,3_103,[-]ngaras / [-]ngéréw,[-]ngéréw,,,Jackson1991,,false,,
caroMain_JaMa1991-4_104-1,,caroMain_JaMa1991,4_104,[e]ghit,[e]ghit,,Fritz (1911:19) reports sél for 10^4,Jackson1991,,false,,
caroMain_JaMa1991-5_105-1,,caroMain_JaMa1991,5_105,[-]púngút,[-]púngút,,Fritz (1911:19) reports äpingit for 10^5,Jackson1991,,false,,
caroMain_JaMa1991-6_106-1,,caroMain_JaMa1991,6_106,[-]l,[-]l,,,Jackson1991,,false,,
sataMain_Damm1935-1_101-1,,sataMain_Damm1935,1_101,sãk,sãk,,,Damm1935,,false,,
sataMain_Damm1935-2_102-1,,sataMain_Damm1935,2_102,äwṹgu,äwṹgu,,,Damm1935,,false,,
sataMain_Damm1935-3_103-1,,sataMain_Damm1935,3_103,sâṅeräs,sâṅeräs,,,Damm1935,,false,,
sataMain_Damm1935-4_104-1,,sataMain_Damm1935,4_104,sâl,sâl,,,Damm1935,,false,,
sataMain_Damm1935-5_105-1,,sataMain_Damm1935,5_105,bīắu,bīắu,,,Damm1935,,false,,
sataMain_Damm1935-6_106-1,,sataMain_Damm1935,6_106,jâṅit,jâṅit,,,Damm1935,,false,,
sataMain_Damm1935-7_107-1,,sataMain_Damm1935,7_107,selimâsel,selimâsel,,,Damm1935,,false,,
sataMain_Damm1935-8_108-1,,sataMain_Damm1935,8_108,*sṓlubi,*sṓlubi,,,Damm1935,,false,,
woleLamo_Kram1937-1_101-1,,woleLamo_Kram1937,1_101,seg,seg,,,Kramer1937,,false,,
woleLamo_Kram1937-2_102-1,,woleLamo_Kram1937,2_102,sëbugul,sëbugul,,,Kramer1937,,false,,
woleLamo_Kram1937-3_103-1,,woleLamo_Kram1937,3_103,sangaras,sangaras,,,Kramer1937,,false,,
woleLamo_Kram1937-4_104-1,,woleLamo_Kram1937,4_104,sel,sel,,,Kramer1937,,false,,
woleIfal_Damm1938-1_101-1,,woleIfal_Damm1938,1_101,sǟk,sǟk,,,Damm1938,,false,,
woleIfal_Damm1938-2_102-1,,woleIfal_Damm1938,2_102,säwṹgu,säwṹgu,,,Damm1938,,false,,
woleIfal_Damm1938-3_103-1,,woleIfal_Damm1938,3_103,sắṅaläs,sắṅaläs,,,Damm1938,,false,,
