ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,lang_Br,lang_Var,Orth,source_Key,Source,comm_Source
chamMain_Saff1904,Chamorro,cham1312,Chamorro,cha,Papunesia,13.438011,144.74474,Austronesian,2,main,0,Safford1904,Safford (1904:95-102), 
palaMain_Kram1919,Palauan,pala1344,Palauan,pau,Papunesia,7.34138,134.476678,Austronesian,2,main,0,Kramer1919,Krämer (1919:331), 
yapeMain_Tete1873,Yapese,yape1248,Yapese,yap,Papunesia,9.55811,138.125,Austronesian,2,main,0,Tetens1873,Tetens & Kubary (1873:99),"Müller (1917:125f.): similar, but one power less"
ngulMain_Eile1936,Nguluwan,ngul1236,Nguluwan,nuw,Papunesia,8.45,137.34,Austronesian,2,main,0,Eilers1936,Eilers (1936:243) ,Eilers' list of numerals ends at 600
kapiMain_Eile1934,Kapingamarangi,kapi1249,Kapingamarangi,kpg,Papunesia,1.039166,154.797223,Austronesian,2,main,0,Eilers1934,Eilers (1934:300 [citing Jeschke & Kubary]) ,Lieber & Dikepa (1974): similar
nukuMain_HaJa1984,Nukuoro,nuku1260,Nukuoro,nkr,Papunesia,3.84,154.975,Austronesian,2,main,0,Harrison1984,Harrison & Jackson (1984:72),Carroll & Soulik (1973): same numerals (except for 10) up to 10^8
naurMain_Kays1993,Nauru,naur1243,Nauru,nau,Papunesia,-0.52957,166.922,Austronesian,1,main,0,Kayser1993,Kayser (1993[1936]:68),power numeral for 10^5 from Hambruch (1914:111)
kosrMain_LeeK1975,Kosraean,kosr1238,Kosraean,kos,Papunesia,5.31,162.98,Austronesian,1,main,0,Lee1975,Lee (1975:123), 
gilbMain_Bing1922,Gilbertese,gilb1244,Gilbertese,gil,Papunesia,0.179,173.64,Austronesian,1,main,0,Bingham1922,Bingham (1922:15-19),
marsMain_Erdl1906,Marshallese,mars1254,Marshallese,mah,Papunesia,8.72,167.73,Austronesian,1,main,0,Erdland1906,Erdland (1906:204),"for power numerals in specific counting systems, see Erdland (1906:204f.); analysis in Bender & Beller (subm.)"
pingMain_GoWe1989,Pingelapese,ping1243,Pingelapese,pif,Papunesia,6.20743,160.711,Austronesian,1,main,0,Good1989,Good & Welley (1989:9-12),"Eilers (1934:461-463) reports similar, yet more complicated numerals (except for 10) up to 10^9"
mokiMain_Harr1976,Mokilese,moki1238,Mokilese,mkj,Papunesia,6.65651,159.776,Austronesian,1,main,0,Harrison1976,Harrison (1976:97),"Eilers (1934:397) reports similar, yet more complicated numerals (except for 10), and up to 10^3 only"
pohnMain_Rehg1981,Pohnpeian,pohn1238,Pohnpeian,pon,Papunesia,6.87212,158.223,Austronesian,1,main,0,Rehg1981,Rehg (1981:139), 
mortMain_Girs1913,Mortlockese,mort1237,Mortlockese,mrl,Papunesia,5.50735,153.710778,Austronesian,1,main,1,Girschner1913,Girschner (1913:171), 
chuuMain_Elbe1947,Chuukese,chuu1238,Chuukese,chk,Papunesia,7.346993,151.598607,Austronesian,1,main,0,Elbert1947,Elbert (1947:23f.),Krämer (1932:37): similar [but 100 is lacking]
pollMain_Quac1968,Pollapese,poll1238,Pollapese,puw,Papunesia,7.638875,149.428723,Austronesian,1,main,0,Quackenbush1968,Quackenbush (1968:201-203), 
puluPuwa_Damm1935,Puluwatese,pulu1242,Puluwatese,puw,Papunesia,7.35695,149.2005,Austronesian,1,Puluwat,1,Damm1935,Damm [Hambruch & Sarfert] (1935:280f.),
puluPusu_Quac1968,Pulusukese,pulu1243,Pulusukese,puw,Papunesia,7.36,149.2,Austronesian,1,Pulusuk,0,Quackenbush1968,Quackenbush (1968:201-203), 
namoMain_Kram1935,Namonuito,namo1247,Namonuito,nmt,Papunesia,8.584627,149.685202,Austronesian,1,main,0,Kramer1935,Krämer (1935:206f.),Quackenbush (1968:201-203) reports a pattern in line with Trukic (with 10^3 = ngaraj)
paafMain_Quac1968,Pááfang,paaf1237,Pááfang,pfa,Papunesia,8.610194,152.240167,Austronesian,1,main,0,Quackenbush1968,Quackenbush (1968:201-203), 
tanaMain_Quac1968,Tanapag,tana1281,Tanapag,tpv,Papunesia,15.237,145.757,Austronesian,1,main,0,Quackenbush1968,Quackenbush (1968:201-203), 
caroMain_JaMa1991,Carolinian,caro1242,Carolinian,cal,Papunesia,15.205,145.765,Austronesian,1,main,0,Jackson1991,Jackson & Marck (1991:340-342),
sataMain_Damm1935,Satawalese,sata1237,Satawalese,stw,Papunesia,7.36084,147.038,Austronesian,1,main,1,Damm1935,Damm [Hambruch & Sarfert] (1935:280f.),
woleLamo_Kram1937,Woleaian,lamo1243,Lamotrek,woe,Papunesia,7.38,143.92,Austronesian,1,Lamotrek,0,Kramer1937,Krämer (1937:411f.),"unclear whether Krämer's (1937) power numerals for 10^5 onwards apply also to Lamotrek, or only to Fais"
woleIfal_Damm1938,Woleaian,wole1240,Woleaian,woe,Papunesia,7.37957,143.916,Austronesian,1,Ifaluk,1,Damm1938,Damm [Hambruch & Sarfert] (1938:101f.), 
woleEuar_Damm1938,Woleaian,wole1240,Woleaian,woe,Papunesia,7.37957,143.916,Austronesian,1,Euaripik,1,Damm1938,Damm [Hambruch & Sarfert ] (1938:146f.), 
woleFara_Damm1938,Woleaian,wole1240,Woleaian,woe,Papunesia,7.37957,143.916,Austronesian,1,Faraulep,1,Damm1938,Damm [Hambruch & Sarfert] (1938:213-216),
woleWolA_Sohn1975,Woleaian ,wole1240,Woleaian,woe,Papunesia,7.37957,143.916,Austronesian,1,Woleai Atoll,0,Sohn1975,"Sohn (1975:61f.,79f.)","for power numerals in specific counting systems, see Sohn & Tawerilmang (1976:255,394); analysis in Bender & Beller (subm.)"
woleWolA_Alki1970,Woleaian ,wole1240,Woleaian,woe,Papunesia,7.37957,143.916,Austronesian,1,Woleai Atoll,0,Alkire1970,Alkire (1970:8),"for power numerals in specific counting systems, see Alkire (1970:10-13); analysis in Bender & Beller (subm.)"
mapiMain_Kuba1895,Mapia,mapi1250,Mapia,mpy,Papunesia,0.908889,134.304722,Austronesian,1,main,0,Kubary1895,Kubary (1895:113), 
ulitSoro_Damm1938,Ulithian,ulit1238,Ulithian,uli,Papunesia,9.961388,139.603611,Austronesian,1,Sorol,1,Damm1938,Damm [Hambruch & Sarfert] (1938:279f.), 
ulitFais_Kram1937,Ulithian,ulit1238,Ulithian,uli,Papunesia,9.961388,139.603611,Austronesian,1,Fais (Feis),0,Kramer1937,Krämer (1937:411f.),
ulitMogm_Damm1938,Ulithian,ulit1238,Ulithian,uli,Papunesia,9.961388,139.603611,Austronesian,1,Mogmog,1,Damm1938,Damm [Hambruch & Sarfert] (1938:373f. [citing Hambruch]),
ulitMain_SoBe1973,Ulithian,ulit1238,Ulithian,uli,Papunesia,9.961388,139.603611,Austronesian,1,main,0,Sohn1973,"Sohn & Bender (1973:201f.,244f.)", 
sonsSons_Eile1935,Sonsorol,sons1243,Sonsorolese,sov,Papunesia,5.33,132.22,Austronesian,1,Sonsorolese,1,Eilers1935,Eilers (1935:81f.),
sonsPulo_Eile1935,Sonsorol,pulo1240,Pulo Anna,sov,Papunesia,5.33,132.22,Austronesian,1,Pulo Ana (Pur),1,Eilers1935,Eilers (1935:260),
sonsMeri_Eile1935,Sonsorol,pulo1240,Pulo Anna,sov,Papunesia,5.33,132.22,Austronesian,1,Merir,1,Eilers1935,Eilers (1935:379),"for power numerals in pair-wise counting, see Eilers (1935:380); analysis in Bender & Beller (subm.) "
tobiMain_Eile1936,Tobian,tobi1238,Tobian,tox,Papunesia,3.004528,131.171295,Austronesian,1,main,1,Eilers1936,Eilers (1936:125-127 [citing Krämer]),"Eilers also renders numerals reported by Pickering, Hale, and  Hellwig"
