ID,lang_Code,lang_Name,lang_Var,lang_Br,10^1,10^2,10^3,10^4,10^5,10^6,10^7,10^8,10^9,10^10,Orth,source,source_Key,comm_Source,comm_Forms
chamMain_Saff1904,cham1312,Chamorro,main,2,manot,gatus,chalan,*manutu,,,,,,,0,Safford (1904:95-102),Safford1904, ,"manot: ""considered as expressing 'a set.' When more than one ten is expressed, fulu is used"" (Safford 1904:100)"
palaMain_Kram1919,pala1344,Palauan,main,2,mágod / trúiŭg,dart,tëláel,(trúiŭg l tëláel),(dart l tëláel),,,,,,0,Krämer (1919:331),Kramer1919, ,(trúiŭg l tëláel): Krämer (1919:331) assumes this to be influenced by Western languages; (dart l tëláel): Krämer (1919:331) assumes this to be influenced by Western languages
yapeMain_Tete1873,yape1248,Yapese,main,2,erregak,erre-ei,ebiu,(ebiegak ebiu),(erre-ei ebiu),,,,,,0,Tetens & Kubary (1873:99),Tetens1873,"Müller (1917:125f.): similar, but one power less",
ngulMain_Eile1936,ngul1236,Nguluwan,main,2,ragāk,raei / răb moú,?,,,,,,,,0,Eilers (1936:243) ,Eilers1936,Eilers' list of numerals ends at 600,
kapiMain_Eile1934,kapi1249,Kapingamarangi,main,2,[matanga] huru ,rau,mano,,,,,,,,0,Eilers (1934:300 [citing Jeschke & Kubary]) ,Eilers1934,Lieber & Dikepa (1974): similar,
nukuMain_HaJa1984,nuku1260,Nukuoro,main,2,hulu / mada,lau,mano,semada,seguli,seloo,sengaa,semuna,sebugi,sebaga,0,Harrison & Jackson (1984:72),Harrison1984,Carroll & Soulik (1973): same numerals (except for 10) up to 10^8,hulu: Carroll & Soulik (1973:465) report hulu in enumeration and compounds only; mada: Carroll & Soulik (1973:465) report madaangahulu for objects
naurMain_Kays1993,naur1243,Nauru,main,1,ata,aibu,arańa,(ata arańan),(aibu arańan),(arańa e arańan),,,,,0,Kayser (1993[1936]:68),Kayser1993,power numeral for 10^5 from Hambruch (1914:111),"(aibu arańan): due to a gap in Kayser (1993) taken from Hambruch (1914:111); (arańa e arańan): beyond 10^6, counting returns to 1 and continues recursively (Kayser 1993:68)"
kosrMain_LeeK1975,kosr1238,Kosraean,main,1,[-]nguhul,[-]fok(o),(tausin),,,(milion),,,,,0,Lee (1975:123),Lee1975, ,[-]nguhul: Vesper (1970) reports siŋaul for 10 (but no higher power numerals)
gilbMain_Bing1922,gilb1244,Gilbertese,main,1,tebwina / teñaun,tebubua,teña,terebu,tekuri,teea,tetano,tetoki,(tebwina tetoki),,0,Bingham (1922:15-19),Bingham1922,,tebwina: according to Bingham (1922:15) for 10 objects; teñaun: according to Bingham (1922:15) for 10 people (or 100 coconuts [p.17])
marsMain_Erdl1906,mars1254,Marshallese,main,1,joñoul,jibugi,jeraben,,,,,,,,0,Erdland (1906:204),Erdland1906,"for power numerals in specific counting systems, see Erdland (1906:204f.); analysis in Bender & Beller (subm.)",
